player_name,id,date_of_birth,place_of_birth,country_of_birth,town_of_birth,height_cm,weight_kg,position,awards_cnt,RG,RA,RTP,RPM,RGD,RGAA,RSO,RGA,RTOI,RS,RPLMI,RWR,ARSP,PSG,PSA,PSTP,PSPM,PSGD,PSGAA,PSSO,PSGA,PSTOI,PSS,PSPLMI,PSWR,APSSP,lng,lat
Emils Gegeris,310115,1999-07-23,"Riga, LAT",LAT,Riga,180,84,LW,4,0.2937625754527163,0.30784708249496984,0.6016096579476862,0.47484909456740443,0.0,0.0,0.0,0.0,0.0,0.0,-0.10865191146881288,0.0,0.0,0.08695652173913043,0.34782608695652173,0.43478260869565216,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,-0.08695652173913043,0.0,0.0,56.9493977,24.1051846
Enver Lisin,9255,1986-04-22,"Moscow, RUS",RUS,Moscow,186,90,RW,6,0.23051224944320714,0.2071269487750557,0.4376391982182628,0.6291759465478842,0.0,0.0,0.0,0.0,0.0,0.0,-0.026726057906458798,0.0,0.0,0.12371134020618557,0.23711340206185566,0.36082474226804123,0.6804123711340206,0.0,0.0,0.0,0.0,0.0,0.0,-0.010309278350515464,0.0,0.0,55.7504461,37.6174943
Eric Beaudoin,7117,1980-05-03,"Ottawa, ON, CAN",CAN,Ottawa,195,100,LW/C,1,0.25876288659793817,0.31443298969072164,0.5731958762886598,1.056701030927835,0.0,0.0,0.0,0.0,0.0,0.0,0.032989690721649485,0.0,0.0,0.35353535353535354,0.23232323232323232,0.5858585858585859,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919191919191919,0.0,0.0,45.4208777,-75.6901106
Eric Fehr,10352,1985-09-07,"Winkler, MB, CAN",CAN,Winkler,193,94,C/RW,12,0.38685015290519875,0.33715596330275227,0.7240061162079511,0.7652905198776758,0.0,0.0,0.0,0.0,0.0,0.0,0.13608562691131498,0.0,0.0,0.3220338983050847,0.2598870056497175,0.5819209039548022,1.0112994350282485,0.0,0.0,0.0,0.0,0.0,0.0,0.12429378531073447,0.0,0.0,31.8005913,-103.0762299
Eric Martinsson,21459,1992-10-22,"Klippan, SWE",SWE,Klippan,186,88,D,6,0.07868383404864092,0.31187410586552217,0.3905579399141631,0.6766809728183119,0.0,0.0,0.0,0.0,0.0,0.0,0.034334763948497854,0.0,0.0,0.13186813186813187,0.37362637362637363,0.5054945054945055,0.978021978021978,0.0,0.0,0.0,0.0,0.0,0.0,0.1978021978021978,0.0,0.0,56.15,13.166667
Eric O'Dell,17515,1990-06-21,"Ottawa, ON, CAN",CAN,Ottawa,183,94,C,9,0.39761646803900325,0.4106175514626219,0.8082340195016251,0.7973997833152763,0.0,0.0,0.0,0.0,0.0,0.0,0.032502708559046585,0.0,0.0,0.37142857142857144,0.38571428571428573,0.7571428571428571,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,45.4208777,-75.6901106
Eric Tangradi,12514,1989-02-10,"Philadelphia, PA, USA",USA,Philadelphia,193,103,LW/C,3,0.3357363542739444,0.3728115345005149,0.7085478887744593,1.0257466529351185,0.0,0.0,0.0,0.0,0.0,0.0,0.06591143151390319,0.0,0.0,0.3434343434343434,0.6363636363636364,0.9797979797979798,0.8686868686868687,0.0,0.0,0.0,0.0,0.0,0.0,0.3939393939393939,0.0,0.0,39.9527237,-75.1635262
Erik Christensen,10880,1983-12-17,"Edmonton, AB, CAN",CAN,Edmonton,185,93,C,7,0.30929626411815814,0.3649000868809731,0.6741963509991312,0.6116420503909644,0.0,0.0,0.0,0.0,0.0,0.0,0.030408340573414423,0.0,0.0,0.24242424242424243,0.2828282828282828,0.5252525252525253,0.5858585858585859,0.0,0.0,0.0,0.0,0.0,0.0,-0.08080808080808081,0.0,0.0,53.5462055,-113.491241
Erik Embrich,181420,1997-02-23,"Helsinki, FIN",FIN,Helsinki,185,90,C/LW,6,0.23408624229979466,0.4024640657084189,0.6365503080082136,0.2464065708418891,0.0,0.0,0.0,0.0,0.0,0.0,0.014373716632443531,0.0,0.0,0.2641509433962264,0.6981132075471698,0.9622641509433962,0.22641509433962265,0.0,0.0,0.0,0.0,0.0,0.0,-0.07547169811320754,0.0,0.0,60.1674881,24.9427473
Erik Ersberg,1229,1982-03-08,"Sala, SWE",SWE,Sala,182,77,G,7,0.0,0.0,0.0,0.0,0.9957805907172996,0.17139240506329112,0.056962025316455694,1.8523206751054853,0.7410337552742616,0.18529535864978902,0.0,0.47345132743362833,0.9096875,0.0,0.0,0.0,0.0,0.9242424242424242,0.5513636363636364,0.06060606060606061,1.5909090909090908,0.6391414141414141,0.15878787878787878,0.0,0.6153846153846154,0.8584444444444445,37.5666791,126.9782914
